datetime,symbol,open,high,low,close,MA12,MA26,RSI14,ATR14,EMA12,EMA26,MACD,MACD_signal,MACD_hist,BB_upper,BB_middle,BB_lower,high_open_dist,open_low_dist,body_size,upper_wick,lower_wick,body_ratio,wick_ratio_upper,wick_ratio_lower,candle_type,candle_type_name,prev_candle_1,prev_candle_2,prev_candle_3
12/28/2015,OANDA:XAUUSD,1076.2445,1077.2065,1066.585,1069.2115,1068.753583,1069.392115,46.95924212,14.60271038,1070.338596,1075.090026,-4.751430207,-7.25445461,2.503024404,1080.50403,1073.457,1066.40997,0.962,9.6595,7.033,0.962,2.6265,0.662147531,0.090571012,0.247281457,5,Normal Candle Bearish,2,5,5
12/29/2015,OANDA:XAUUSD,1069.2115,1075.36,1067.5015,1069.1235,1068.56875,1069.05975,46.92013014,14.12098107,1070.151658,1074.648061,-4.496403139,-6.702844316,2.206441177,1076.931301,1071.5569,1066.182499,6.1485,1.71,0.088,6.1485,1.622,0.011198066,0.782401222,0.206400713,1,Doji Bearish,5,2,5
12/30/2015,OANDA:XAUUSD,1069.1235,1072.2745,1059.5215,1061.604,1067.466458,1068.774673,43.5799744,14.02326814,1068.836634,1073.681834,-4.8452007,-6.331315593,1.486114893,1078.653648,1069.3246,1059.995552,3.151,9.602,7.5195,3.151,2.0825,0.58962597,0.247079119,0.163294911,5,Normal Candle Bearish,1,5,2
12/31/2015,OANDA:XAUUSD,1061.604,1063.657,1057.808,1060.9045,1067.508625,1068.210038,43.27137742,13.43939184,1067.616305,1072.735365,-5.119059749,-6.088864424,0.969804675,1078.740524,1067.4176,1056.094676,2.053,3.796,0.6995,2.053,3.0965,0.119593093,0.351000171,0.529406736,7,Long Wick Bearish,5,1,5
1/1/2016,OANDA:XAUUSD,1060.9045,1060.9045,1060.6345,1060.6345,1067.459333,1067.796635,43.14438153,12.49872099,1066.542182,1071.839005,-5.296823281,-5.930456195,0.633632915,1072.276708,1064.2956,1056.314492,0,0.27,0.27,0,0,1,0,0,3,Full Body Bearish,7,5,1
1/4/2016,OANDA:XAUUSD,1060.6345,1083.604,1060.6345,1074.5455,1067.669458,1067.899942,51.10635361,13.24663378,1067.773461,1072.039486,-4.266024643,-5.597569885,1.331545242,1076.491701,1065.3624,1054.233099,22.9695,0,13.911,9.0585,0,0.605629204,0.394370796,0,4,Normal Candle Bullish,3,7,5
1/5/2016,OANDA:XAUUSD,1074.5455,1082.1065,1072.721,1077.63,1069.82975,1068.663846,52.68842393,12.97083851,1069.289852,1072.453598,-3.163746227,-5.110805153,1.947058926,1081.941945,1067.0637,1052.185455,7.561,1.8245,3.0845,4.4765,1.8245,0.328645251,0.476959139,0.19439561,6,Long Wick Bullish,4,3,7
1/6/2016,OANDA:XAUUSD,1077.63,1095.318,1075.0885,1093.6005,1072.110625,1069.765519,59.91981004,13.48931433,1073.029952,1074.020035,-0.990083693,-4.286660861,3.296577168,1097.898072,1073.463,1049.027928,17.688,2.5415,15.9705,1.7175,2.5415,0.789465879,0.084900764,0.125633357,2,Full Body Bullish,6,4,3
1/7/2016,OANDA:XAUUSD,1093.6005,1110.224,1091.5385,1108.896,1074.633292,1071.27875,65.37786418,13.86047045,1078.547805,1076.60344,1.944365114,-3.040455666,4.984820781,1116.329732,1083.0613,1049.792868,16.6235,2.062,15.2955,1.328,2.062,0.818575901,0.071071151,0.110352947,2,Full Body Bullish,2,6,4
1/8/2016,OANDA:XAUUSD,1108.896,1113.7065,1092.624,1104.161,1077.249583,1073.211808,62.53865373,14.3763297,1082.488297,1078.644741,3.843555888,-1.663653355,5.507209244,1119.288379,1091.7666,1064.244821,4.8105,16.272,4.735,4.8105,11.537,0.224593857,0.228175027,0.547231116,7,Long Wick Bearish,2,2,6
